median_house_value,longitude,latitude,housing_median_age,total_rooms,total_bedrooms,population,households,median_income,ocean_proximity
11.885867381372833,-116.52,33.82,21.0,10227.0,2315.0,3623.0,1734.0,2.5212,INLAND
11.669929213779893,-122.94,38.5,46.0,2280.0,492.0,807.0,366.0,2.6316,<1H OCEAN
12.483325522491416,-122.49,37.63,31.0,3109.0,621.0,1472.0,618.0,5.155,NEAR OCEAN
12.005790763359226,-118.11,34.06,16.0,2416.0,565.0,1750.0,514.0,2.8229,<1H OCEAN
12.372010723073604,-120.66,35.13,41.0,2666.0,751.0,940.0,507.0,1.9653,<1H OCEAN
11.768342576834733,-122.32,37.92,28.0,4649.0,977.0,2606.0,953.0,3.2674,NEAR BAY
12.948009990259552,-122.42,37.8,52.0,1777.0,486.0,932.0,427.0,3.3643,NEAR BAY
11.998433280751929,-122.05,37.63,5.0,3785.0,936.0,2240.0,792.0,3.2829,NEAR BAY
12.581765595304669,-121.85,37.26,16.0,1816.0,241.0,793.0,234.0,6.8194,<1H OCEAN
11.183031543709138,-119.81,36.79,39.0,2471.0,460.0,1118.0,431.0,2.4167,INLAND
12.206072645530174,-122.93,38.02,28.0,1284.0,265.0,628.0,219.0,3.5469,NEAR OCEAN
10.829728615263452,-121.26,37.97,31.0,1189.0,295.0,891.0,292.0,2.5536,INLAND
13.122365377402328,-118.36,34.1,52.0,1096.0,247.0,423.0,230.0,3.0179,<1H OCEAN
11.982929094215963,-117.14,32.76,35.0,1785.0,493.0,965.0,506.0,2.0792,NEAR OCEAN
11.673342186376134,-117.48,34.08,28.0,1922.0,382.0,1565.0,340.0,3.915,INLAND
12.784650371346983,-121.95,37.78,4.0,14652.0,2826.0,5613.0,2579.0,6.3942,<1H OCEAN
11.691071650353702,-121.33,38.64,27.0,2203.0,493.0,1158.0,492.0,2.4342,INLAND
12.296370283510955,-118.03,33.77,27.0,2000.0,310.0,880.0,294.0,5.635,<1H OCEAN
13.122365377402328,-122.11,37.31,7.0,189.0,26.0,84.0,29.0,13.8093,<1H OCEAN
12.18229211686477,-118.0,34.08,29.0,2003.0,401.0,1520.0,364.0,3.9939999999999998,INLAND
