CustomerID,date_size,date_recency,date_time_between,date_T,baseket_value_sum,baseket_value_mean,baseket_value_std,baseket_value_amax,baseket_value_amin,baseket_value_median,basket_size_sum,basket_size_mean,basket_size_std,basket_size_amax,basket_size_amin,basket_size_median,lag_12,lag_11,lag_10,lag_9,lag_8,lag_7,lag_6,lag_5,lag_4,lag_3,lag_2,lag_1,value
12747,20,352,18,359,4610.02,230.501,189.4377361,715.1,-31.8,285.285,1350,67.5,57.95869673,201,-4,64,1000.2,0,236.35,202.64,190.43,267.37,646.75,0,629.68,0,1047.75,388.85,1619.826187
12748,91,360,4,362,18904.63,207.7431868,272.5852392,1311.77,-309.73,127.06,11534,126.7472527,203.3228737,1240,-110,43,994.48,679.4,1725.15,1046.15,241.94,1205.59,700.76,746.5,2643.18,2177.74,2511.67,4232.07,1715.173813
12749,6,136,27,148,2460.29,410.0483333,594.89011,1198.82,-183.05,353.205,849,141.5,182.0337881,408,-24,97.5,0,0,0,0,0,0,0,764.55,0,0,1015.77,679.97,1439.007279
12820,8,337,48,361,1705.6,213.2,128.0079428,371.56,-41.58,217.89,1206,150.75,136.3878398,369,-38,142.5,148.3,334.99,371.56,0,0,186.87,0,207.33,0,0,278,178.55,1105.152652
12823,10,285,31,306,4742,474.2,510.8380478,1912.5,190.5,317.5,700,70,64.46359869,250,30,50,0,416.5,0,508,317.5,317.5,381,508,0,381,0,1912.5,1452.556019
12826,7,317,52,348,1305.57,186.51,175.8284033,458.2,-10.51,134.3,855,122.1428571,109.8505478,268,-1,98,458.2,-10.51,0,0,0,0,0,307.66,290.92,0,259.3,0,1024.039506
12836,10,349,38,365,3933.61,393.361,126.2094285,641.4,209.29,391.575,1168,116.8,70.9879489,280,58,103.5,423.87,260,331.85,412.49,425.6,0,326.85,370.66,209.29,0,531.6,641.4,1474.564452
12838,9,205,25,219,2302.11,255.79,182.8169066,639.01,-7.6,226.35,1251,139,93.57216466,278,-4,123,0,0,0,0,228.05,86.65,217.54,0,0,980.25,589.57,200.05,1664.851092
12839,15,353,25,359,3941.6,262.7733333,195.5129593,593.08,-114.6,303.95,2679,178.6,142.2973747,399,-84,190,969.78,10.7,0,302.52,460.43,282.45,0,329.8,494.88,0,215.86,875.18,1098.764043
12840,5,237,59,301,1299.6,259.92,308.3159273,673.51,-11.7,150,739,147.8,166.7099277,359,-6,104,0,0,146.1,-11.7,0,0,491.69,0,0,673.51,0,0,1503.021254
12841,15,140,10,146,3008.09,200.5393333,79.9390436,352.44,84,190.3,2335,155.6666667,96.07412813,320,36,154,0,0,0,0,0,0,0,549.14,107.3,436.75,520.1,1394.8,1353.569938
12842,2,333,333,364,799,399.5,3.252691193,401.8,397.2,399.5,340,170,2.828427125,172,168,170,397.2,0,0,0,0,0,0,0,0,0,401.8,0,1687.402641
