,longitude,latitude,housing_median_age,total_rooms,total_bedrooms,population,households,median_income,ocean_proximity,median_house_value
12069,-117.55,33.83,6.0,502.0,76.0,228.0,65.0,4.2386,INLAND,500001.0
15925,-122.44,37.73,52.0,2381.0,492.0,1485.0,447.0,4.3898,NEAR BAY,270000.0
11162,-118.0,33.83,26.0,1718.0,385.0,1022.0,368.0,3.9333,<1H OCEAN,196100.0
4904,-118.26,34.01,38.0,697.0,208.0,749.0,206.0,1.4653,<1H OCEAN,118800.0
4683,-118.36,34.08,52.0,2373.0,601.0,1135.0,576.0,3.1765,<1H OCEAN,225000.0
10796,-117.91,33.62,35.0,2426.0,359.0,937.0,387.0,9.2175,<1H OCEAN,500001.0
8839,-118.39,34.08,52.0,1244.0,304.0,444.0,282.0,3.5114,<1H OCEAN,430800.0
9033,-118.66,34.02,23.0,8798.0,1465.0,2750.0,1208.0,8.7364,NEAR OCEAN,500001.0
12439,-116.18,33.67,25.0,2888.0,654.0,2940.0,660.0,2.2141,INLAND,66700.0
3094,-118.45,35.58,16.0,5396.0,1182.0,1802.0,807.0,1.8819,INLAND,69700.0
7107,-118.01,33.89,34.0,1653.0,292.0,1003.0,310.0,4.6,<1H OCEAN,203400.0
18750,-122.4,40.71,22.0,2390.0,484.0,1131.0,452.0,2.1458,INLAND,84700.0
19133,-122.72,38.35,16.0,3049.0,609.0,1675.0,618.0,2.4117,<1H OCEAN,162500.0
3503,-118.44,34.27,29.0,1701.0,419.0,1616.0,371.0,3.3603,<1H OCEAN,142400.0
14243,-117.1,32.69,11.0,3071.0,911.0,2812.0,774.0,1.2413,NEAR OCEAN,83100.0
1235,-120.34,38.25,17.0,5497.0,1056.0,997.0,408.0,2.9821,INLAND,111500.0
14340,-117.16,32.74,49.0,1815.0,495.0,601.0,410.0,3.0571,NEAR OCEAN,418800.0
20392,-118.87,34.23,14.0,4242.0,746.0,1858.0,689.0,6.0145,<1H OCEAN,287100.0
20246,-119.26,34.27,40.0,2528.0,572.0,1318.0,549.0,3.6413,NEAR OCEAN,212700.0
15698,-122.46,37.79,52.0,899.0,96.0,304.0,110.0,14.2959,NEAR BAY,500001.0
15552,-117.08,33.12,37.0,1060.0,268.0,823.0,229.0,1.8363,<1H OCEAN,145500.0
1845,-122.28,37.9,49.0,3191.0,516.0,1148.0,507.0,6.3538,NEAR BAY,333700.0
7472,-118.21,33.93,30.0,2831.0,862.0,3649.0,883.0,1.9668,<1H OCEAN,152100.0
13373,-117.5,34.12,2.0,11965.0,1802.0,4436.0,1296.0,5.285,INLAND,191700.0
4508,-118.19,34.05,41.0,1098.0,264.0,1178.0,245.0,2.1058,<1H OCEAN,124300.0
13447,-117.41,34.11,12.0,6758.0,1550.0,3204.0,1279.0,2.5181,INLAND,105500.0
18675,-121.88,36.96,18.0,6355.0,1100.0,2304.0,972.0,6.0281,NEAR OCEAN,321100.0
6807,-118.1,34.09,44.0,2352.0,484.0,1517.0,463.0,4.2833,<1H OCEAN,258000.0
16568,-121.42,37.71,7.0,8297.0,1433.0,4189.0,1271.0,4.3696,INLAND,170700.0
18438,-121.85,37.25,20.0,3773.0,624.0,1965.0,607.0,5.4939,<1H OCEAN,241200.0
7279,-118.25,33.98,44.0,1087.0,335.0,1441.0,310.0,1.6667,<1H OCEAN,112500.0
