Price,Suburb,Address,Rooms,Type,Method,SellerG,Date,Distance,Postcode,Bedroom2,Bathroom,Car,Landsize,BuildingArea,YearBuilt,CouncilArea,Lattitude,Longtitude,Regionname,Propertycount
616000.0,Box Hill,126 Carrington Rd,2,u,S,Philip,16/07/2016,13.1,3128.0,3.0,1.0,1.0,155.0,,,Whitehorse,-37.8193,145.1149,Eastern Metropolitan,4605.0
1135000.0,Thornbury,52 Gooch St,3,h,S,Nelson,8/10/2016,6.5,3071.0,3.0,1.0,1.0,294.0,,,Darebin,-37.7585,145.0042,Northern Metropolitan,8870.0
900400.0,Camberwell,3/573 Riversdale Rd,2,t,S,Noel,10/09/2016,7.8,3124.0,2.0,1.0,1.0,93.0,111.0,,Boroondara,-37.8314,145.0611,Southern Metropolitan,8920.0
1260500.0,Oakleigh South,28 Devoy St,3,h,S,Buxton,26/07/2016,14.7,3167.0,3.0,1.0,1.0,774.0,107.0,1950.0,Monash,-37.9178,145.0872,South-Eastern Metropolitan,3692.0
410000.0,Footscray,9/6 Rosamond Rd,2,t,SP,Rendina,15/10/2016,6.4,3011.0,2.0,2.0,1.0,65.0,80.0,2014.0,Maribyrnong,-37.7881,144.8838,Western Metropolitan,7570.0
760000.0,Richmond,408/633 Church St,2,u,S,Biggin,27/11/2016,2.6,3121.0,2.0,1.0,1.0,0.0,,,Yarra,-37.833,144.997,Northern Metropolitan,14949.0
680000.0,Heidelberg Heights,33 Shakespeare Gr,2,h,S,Fletchers,12/11/2016,10.5,3081.0,2.0,1.0,1.0,605.0,78.0,1950.0,Banyule,-37.7365,145.0545,Eastern Metropolitan,2947.0
1422000.0,Richmond,28 Stawell St,3,h,S,hockingstuart,6/08/2016,2.6,3121.0,3.0,1.0,0.0,339.0,,,Yarra,-37.8215,145.0102,Northern Metropolitan,14949.0
465000.0,Alphington,2/5 Yarana Rd,2,u,S,McGrath,12/11/2016,6.4,3078.0,2.0,1.0,1.0,0.0,,,Darebin,-37.7773,145.0314,Northern Metropolitan,2211.0
390500.0,Brunswick East,408/1 Brunswick Rd,1,u,SP,Ray,22/07/2017,4.0,3057.0,1.0,1.0,1.0,0.0,49.0,2011.0,Moreland,-37.77883,144.9776,Northern Metropolitan,5533.0
820000.0,Reservoir,17 Steane St,5,h,SP,hockingstuart,27/11/2016,11.2,3073.0,5.0,2.0,2.0,737.0,150.0,,Darebin,-37.7306,145.0242,Northern Metropolitan,21650.0
561000.0,Collingwood,226/3 Hoddle St,2,u,S,Raine,3/06/2017,2.0,3066.0,2.0,2.0,2.0,3701.0,,2005.0,Yarra,-37.80896,144.9911,Northern Metropolitan,4553.0
1305000.0,South Yarra,16 Margaret St,3,h,SP,Jellis,16/09/2017,2.7,3141.0,3.0,1.0,,174.0,110.0,1900.0,,-37.84517,144.98727,Southern Metropolitan,14887.0
605000.0,Altona,2/119 Railway St N,3,u,S,Barlow,25/02/2017,13.8,3018.0,3.0,1.0,2.0,181.0,,,Hobsons Bay,-37.8659,144.822,Western Metropolitan,5301.0
593000.0,Albion,29 Norwood St,3,h,SP,Sweeney,4/06/2016,13.9,3020.0,3.0,2.0,2.0,605.0,102.0,1965.0,Brimbank,-37.7792,144.8117,Western Metropolitan,2185.0
625000.0,Altona North,10 Knapp St,3,h,PI,Hunter,28/05/2016,11.1,3025.0,3.0,1.0,1.0,536.0,,,Hobsons Bay,-37.8285,144.8351,Western Metropolitan,5132.0
580000.0,Pascoe Vale,2/8 Stewart St,2,u,S,Nelson,22/07/2017,8.5,3044.0,2.0,1.0,1.0,103.0,111.0,2010.0,Moreland,-37.72773,144.92628,Northern Metropolitan,7485.0
600000.0,Windsor,6/213 Dandenong Rd,2,u,S,hockingstuart,6/08/2016,5.1,3181.0,2.0,1.0,1.0,1043.0,,,Stonnington,-37.8581,144.9972,Southern Metropolitan,4380.0
870000.0,Coburg,24 Webb St,3,h,S,Nelson,22/08/2016,7.8,3058.0,3.0,1.0,1.0,371.0,100.0,1980.0,Moreland,-37.735,144.9558,Northern Metropolitan,11204.0
875000.0,Port Melbourne,34 Bridge St,2,h,S,Cayzer,18/06/2016,3.8,3207.0,2.0,1.0,1.0,95.0,,,Melbourne,-37.8381,144.9465,Southern Metropolitan,8648.0
851000.0,Bentleigh,3/2 Scotts St,2,t,S,hockingstuart,3/12/2016,13.0,3204.0,2.0,1.0,1.0,140.0,250.0,1970.0,Glen Eira,-37.9204,145.0443,Southern Metropolitan,6795.0
820000.0,Avondale Heights,29 Brentwood Dr,3,h,S,Moonee,8/07/2017,9.5,3034.0,3.0,1.0,2.0,680.0,,,Moonee Valley,-37.77178,144.85397,Western Metropolitan,4502.0
690000.0,St Kilda,5/171 Fitzroy St,2,u,VB,hockingstuart,12/06/2016,6.1,3182.0,2.0,1.0,0.0,0.0,100.0,,Port Phillip,-37.8579,144.981,Southern Metropolitan,13240.0
750000.0,Reservoir,8 Bedwell St,4,h,PI,Ray,12/11/2016,11.2,3073.0,4.0,2.0,4.0,820.0,197.0,1965.0,Darebin,-37.6945,144.99200000000005,Northern Metropolitan,21650.0
865000.0,Croydon,30 Allendale Rd,5,h,PI,Ray,8/07/2017,23.0,3136.0,4.0,2.0,2.0,974.0,200.0,1975.0,Maroondah,-37.79189,145.29661000000004,Eastern Metropolitan,11925.0
540000.0,Altona,2/18 Hancock St,2,u,SP,hockingstuart,3/06/2017,11.0,3018.0,2.0,1.0,1.0,132.0,,1980.0,Hobsons Bay,-37.86444,144.82304,Western Metropolitan,5301.0
1440000.0,Glen Iris,68 Martin Rd,3,h,S,Abercromby's,27/05/2017,7.3,3146.0,3.0,2.0,2.0,0.0,,,Boroondara,-37.85139,145.05835,Southern Metropolitan,10412.0
1315000.0,Preston,342 Gilbert Rd,4,h,S,Barry,19/11/2016,8.8,3072.0,4.0,3.0,2.0,836.0,,1941.0,Darebin,-37.7379,144.9903,Northern Metropolitan,14577.0
992000.0,Mulgrave,1 Sutherland Ct,4,h,S,Harcourts,8/07/2017,18.8,3170.0,4.0,2.0,1.0,790.0,,,Monash,-37.91375,145.16438,South-Eastern Metropolitan,7113.0
1300000.0,North Melbourne,15A Lothian St,3,t,S,Jellis,11/02/2017,2.3,3051.0,3.0,2.0,2.0,67.0,,2005.0,Melbourne,-37.804,144.9441,Northern Metropolitan,6821.0
880000.0,Heidelberg West,3 Leyte Pde,3,h,S,Haughton,6/05/2017,9.4,3081.0,3.0,1.0,2.0,689.0,,,Banyule,-37.7382,145.0451,Eastern Metropolitan,2674.0
450000.0,Williamstown,5/72 Dover Rd,2,u,S,Williams,14/05/2016,8.0,3016.0,2.0,1.0,2.0,0.0,,,Hobsons Bay,-37.8536,144.899,Western Metropolitan,6380.0
800000.0,Richmond,201/65 Stawell St,2,u,VB,hockingstuart,15/07/2017,2.4,3121.0,2.0,2.0,2.0,0.0,89.0,2008.0,Yarra,-37.82201,145.0104,Northern Metropolitan,14949.0
