customer_id,level_tenure,member_score,num_promoted,account_bal,location,member_type,response
SB0000092306,202,520,0,2899,S,T,0
SB0000037904,194,687,0,2643,E,C,0
SB0000103175,131,586,0,3516,E,R,0
SB0000102342,175,672,0,3056,E,C,0
SB0000143491,79,701,0,4100,N,C,0
SB0000106181,135,682,0,3484,E,C,0
SB0000058148,95,683,0,2064,N,C,0
SB0000064140,163,653,0,3554,E,C,0
SB0000095731,71,682,0,2573,W,C,0
SB0000131122,190,760,0,2705,E,S,0
SB0000017637,159,728,0,3734,E,S,0
SB0000121663,246,633,0,1574,S,,1
SB0000122390,179,671,0,3712,E,C,0
SB0000019223,131,706,0,2997,E,C,0
SB0000063261,56,520,0,2568,W,T,0
SB0000057797,32,735,0,3852,W,S,0
SB0000079924,147,661,0,2481,E,C,0
SB0000115023,179,708,0,931,E,C,0
SB0000102703,83,581,0,3073,N,R,0
SB0000096761,167,700,0,3764,E,C,0
SB0000027302,75,707,1,2881,N,C,0
SB0000133031,111,713,0,2126,N,C,0
SB0000109029,179,584,0,3693,E,R,0
SB0000029954,,722,0,1834,N,C,0
SB0000086866,127,637,0,1285,E,N,0
SB0000094642,242,757,0,3782,S,,0
SB0000105121,246,716,0,4012,S,C,0
SB0000036537,123,669,0,2249,E,C,0
SB0000012350,123,754,0,-132,E,,0
SB0000143726,155,691,0,3029,E,C,0
SB0000064905,111,573,0,3839,N,R,0
SB0000033939,147,520,0,3951,E,,0
SB0000136591,159,648,0,3516,E,N,0
SB0000099995,87,679,0,3481,N,C,0
SB0000104936,87,520,0,2322,N,,0
SB0000144738,246,690,0,3286,S,C,0
SB0000137047,44,732,0,3435,W,S,0
SB0000148088,198,733,0,340,E,S,0
SB0000095424,218,743,0,3915,S,S,0
SB0000145300,119,694,0,2287,N,C,0
SB0000095475,95,699,0,3587,N,C,0
SB0000088401,103,741,0,3262,N,S,0
SB0000081722,171,675,0,2170,E,C,0
SB0000069646,75,729,0,3303,N,S,0
SB0000023635,115,705,0,3166,N,C,0
SB0000060145,194,520,0,2174,E,T,0
SB0000121235,52,520,0,2546,W,T,0
SB0000118645,210,520,0,1861,S,T,0
SB0000110899,95,661,0,3764,N,C,0
SB0000148183,159,752,0,2451,E,S,0
SB0000111228,131,621,0,2007,E,N,1
SB0000018204,171,760,0,2422,E,S,0
SB0000117244,210,530,0,3343,S,T,0
SB0000138692,131,539,0,3852,E,T,0
SB0000034815,75,632,0,2991,N,N,0
